dt;AirTemp;Azimuth;CloudOpacity;DewpointTemp;Dhi;Dni;Ebh;Ghi;GtiFixedTilt;GtiTracking;PrecipitableWater;RelativeHumidity;SnowWater;SurfacePressure;WindDirection10m;WindSpeed10m;Zenith;AlbedoDaily;dayofyear;hours;target
2021-01-01 01:00:00+00:00;5.3;-58;86.9;5.1;0;0;0;0;0;0;13.8;99.0;0.0;964.2;167;2.6;143;0.18;1;1;0.0
2021-01-01 02:00:00+00:00;5.2;-74;93.7;5.1;0;0;0;0;0;0;13.8;98.8;0.0;964.2;189;2.2;134;0.18;1;2;0.0
2021-01-01 03:00:00+00:00;5.1;-87;82.4;4.9;0;0;0;0;0;0;13.6;98.5;0.0;964.2;219;1.9;124;0.18;1;3;0.0
2021-01-01 04:00:00+00:00;4.9;-98;61.6;4.6;0;0;0;0;0;0;13.4;97.5;0.0;964.4;245;1.5;114;0.18;1;4;0.0
2021-01-01 05:00:00+00:00;4.8;-109;54.5;4.3;0;0;0;0;0;0;13.0;96.3;0.0;964.6;268;1.4;105;0.18;1;5;0.0
2021-01-01 06:00:00+00:00;4.7;-119;53.4;4.0;0;0;0;0;0;0;12.6;95.3;0.0;964.9;279;2.2;96;0.18;1;6;0.0
2021-01-01 07:00:00+00:00;4.6;-130;52.4;3.7;13;0;0;13;12;13;12.3;93.6;0.0;965.6;283;2.9;88;0.18;1;7;0.0
2021-01-01 08:00:00+00:00;4.7;-142;58.6;3.3;52;0;0;52;51;52;11.9;90.5;0.0;966.5;289;3.2;81;0.18;1;8;0.0
2021-01-01 09:00:00+00:00;5.0;-156;55.0;2.9;99;0;0;99;96;99;11.7;86.4;0.0;967.2;293;3.5;76;0.18;1;9;16.0
2021-01-01 10:00:00+00:00;5.4;-170;68.2;2.5;88;0;0;88;85;88;11.7;81.9;0.0;967.6;292;3.1;73;0.18;1;10;32.0
2021-01-01 11:00:00+00:00;5.9;176;63.4;2.3;105;0;0;105;101;105;11.4;77.9;0.0;967.8;282;3.5;72;0.18;1;11;128.0
2021-01-01 12:00:00+00:00;5.6;162;64.9;1.9;87;0;0;87;85;87;10.9;76.8;0.0;968.2;276;4.4;74;0.18;1;12;204.0
2021-01-01 13:00:00+00:00;4.9;148;63.9;1.5;61;0;0;61;59;61;10.6;78.9;0.0;968.8;279;4.9;78;0.18;1;13;100.0
2021-01-01 14:00:00+00:00;4.2;136;46.4;1.3;37;0;0;37;36;37;10.6;81.1;0.0;969.5;282;4.8;84;0.18;1;14;112.0
2021-01-01 15:00:00+00:00;3.8;124;52.3;1.1;1;0;0;1;1;1;10.7;82.7;0.0;970.2;282;4.5;92;0.18;1;15;40.0
2021-01-01 16:00:00+00:00;3.7;113;59.7;1.1;0;0;0;0;0;0;10.7;83.2;0.0;970.8;284;4.5;101;0.18;1;16;24.0
2021-01-01 17:00:00+00:00;3.8;103;41.9;1.1;0;0;0;0;0;0;10.2;82.4;0.0;971.5;290;4.3;110;0.18;1;17;0.0
2021-01-01 18:00:00+00:00;3.3;92;40.9;0.8;0;0;0;0;0;0;8.9;83.8;0.0;972.1;296;3.1;120;0.18;1;18;0.0
2021-01-01 19:00:00+00:00;2.5;80;19.0;0.4;0;0;0;0;0;0;7.7;86.4;0.0;972.9;296;2.3;129;0.18;1;19;0.0
