dt,Vinkivtsi Temperature 2 m elevation corrected,Vinkivtsi Growing Degree Days 2 m elevation corrected,Vinkivtsi Temperature 1000 mb,Vinkivtsi Temperature 850 mb,Vinkivtsi Temperature 700 mb,Vinkivtsi Sunshine Duration,Vinkivtsi Shortwave Radiation,Vinkivtsi Direct Shortwave Radiation,Vinkivtsi Diffuse Shortwave Radiation,Vinkivtsi Precipitation Total,Vinkivtsi Snowfall Amount,Vinkivtsi Relative Humidity 2 m,Vinkivtsi Cloud Cover Total,Vinkivtsi Cloud Cover High high cld lay,Vinkivtsi Cloud Cover Medium mid cld lay,Vinkivtsi Cloud Cover Low low cld lay,Vinkivtsi CAPE 180-0 mb above gnd,Vinkivtsi Mean Sea Level Pressure MSL,Vinkivtsi Geopotential Height 1000 mb,Vinkivtsi Geopotential Height 850 mb,Vinkivtsi Geopotential Height 700 mb,Vinkivtsi Geopotential Height 500 mb,Vinkivtsi Evapotranspiration,Vinkivtsi FAO Reference Evapotranspiration 2 m,Vinkivtsi Temperature,Vinkivtsi Soil Temperature 0-10 cm down,Vinkivtsi Soil Moisture 0-10 cm down,Vinkivtsi Vapor Pressure Deficit 2 m,Vinkivtsi Wind Speed 10 m,Vinkivtsi Wind Direction 10 m,Vinkivtsi Wind Speed 80 m,Vinkivtsi Wind Direction 80 m,Vinkivtsi Wind Gust,Vinkivtsi Wind Speed 900 mb,Vinkivtsi Wind Direction 900 mb,Vinkivtsi Wind Speed 850 mb,Vinkivtsi Wind Direction 850 mb,Vinkivtsi Wind Speed 700 mb,Vinkivtsi Wind Direction 700 mb,Vinkivtsi Wind Speed 500 mb,Vinkivtsi Wind Direction 500 mb,dayofyear,hours,target
2021-01-01 00:00:00,5.685808,0.0,7.14,2.21,-8.98,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,36.0,37.0,100.0,0.0,1003.0,26.0,1353.0,2887.0,5406.0,0.0,0.0,5.71,6.0200195,0.236,0.36310577,13.276144,167.47119,17.581125,169.38034,19.44,25.264202,229.0445,27.511158,222.8789,49.30423,199.62569,68.536285,189.0665,1,0,0.0
2021-01-01 01:00:00,5.1258082,0.0,6.53,1.97,-9.18,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,28.0,82.0,100.0,0.0,1002.4,21.0,1346.0,2879.0,5397.0,0.0,0.0,5.28,5.7900085,0.236,0.34923077,11.367109,169.04593,14.264361,169.8245,16.199999,24.184391,224.39691,25.661207,214.13594,42.724888,200.72556,80.39615,176.91978,1,1,0.0
2021-01-01 02:00:00,4.725808,0.0,6.16,1.46,-9.55,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,15.0,30.0,100.0,0.0,1001.7,15.0,1338.0,2869.0,5385.0,0.0,0.0,4.93,5.5200195,0.236,0.33960724,11.165805,178.15239,14.404499,178.5679,15.4800005,21.767351,214.2157,24.26998,212.27563,41.23532,204.77515,69.42402,170.14693,1,2,0.0
2021-01-01 03:00:00,4.395808,0.0,5.73,1.1,-9.77,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,0.0,23.0,100.0,0.0,1002.4,21.0,1342.0,2872.0,5385.0,0.0,0.0,4.64,5.2700195,0.236,0.33184767,10.390226,194.03624,13.009903,194.42078,17.28,23.770906,215.13419,23.904108,217.04248,43.952446,206.77493,61.019733,175.60129,1,3,0.0
2021-01-01 04:00:00,3.8358078,0.0,5.12,0.69,-9.95,0.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0,11.0,100.0,0.0,1002.8,24.0,1342.0,2871.0,5381.0,0.0,0.0,4.19,4.9900208,0.237,0.3987956,10.1887,212.00539,12.4811535,213.23172,20.519999,27.722336,232.38605,22.183128,221.71077,41.700993,207.22868,55.80116,179.63036,1,4,0.0
2021-01-01 05:00:00,3.3458078,0.0,4.6,0.21,-10.16,0.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0,0.0,100.0,0.0,1003.0,25.0,1339.0,2866.0,5373.0,0.0,0.0,3.73,4.6799927,0.237,0.38523483,12.538134,230.82635,15.9134655,232.35239,23.039999,34.65175,240.77196,28.66694,215.28674,39.84958,202.85876,53.659325,178.46223,1,5,0.0
2021-01-01 06:00:00,2.7858078,0.0,3.99,-0.47,-9.99,0.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0,0.0,100.0,0.0,1003.5,29.0,1339.0,2864.0,5366.0,0.0,0.0,3.22,4.330017,0.237,0.37023735,14.654254,242.1759,19.008547,245.37643,26.64,38.16849,244.88516,35.208298,217.10423,39.389984,198.10376,53.42696,175.74934,1,6,0.0
2021-01-01 07:00:00,2.4758077,0.0,3.43,-1.11,-10.05,0.0,19.58,10.253351,9.326649,0.0,0.0,94.0,100.0,0.0,1.0,100.0,0.0,1004.2,35.0,1340.0,2863.0,5361.0,0.0,0.009518479,3.54,4.0700073,0.237,0.43459034,16.645864,248.4287,20.948164,250.94229,27.359999,42.547066,246.0375,38.70628,223.49257,36.551968,197.1857,48.14453,173.991,1,7,0.0
2021-01-01 08:00:00,2.7358077,0.0,3.33,-1.55,-10.68,0.0,86.33,49.9975,36.3325,0.0,0.0,90.0,100.0,0.0,100.0,100.0,0.0,1005.1,42.0,1346.0,2866.0,5359.0,0.0,0.026853437,4.49,4.149994,0.237,0.73784447,16.516901,253.53998,19.64558,256.2184,25.919998,37.1969,255.42578,41.82512,221.51068,40.91349,208.36905,40.737305,183.0394,1,8,0.0
2021-01-01 09:00:00,3.4758077,0.0,3.65,-2.01,-10.81,0.0,181.56,101.43197,80.12803,0.0,0.0,83.0,100.0,0.0,100.0,100.0,0.0,1005.0,41.0,1344.0,2862.0,5352.0,0.02448,0.05623428,6.2,4.6700134,0.237,1.3218894,19.586117,252.89728,21.758419,253.66397,25.199999,36.832767,265.5154,43.322826,227.69427,42.548588,212.21094,28.296091,233.2759,1,9,16.0
2021-01-01 10:00:00,4.525808,0.0,4.76,-3.25,-10.91,0.0,195.8,124.6474,71.1526,0.0,0.0,75.0,100.0,0.0,38.0,100.0,0.0,1005.6,47.0,1349.0,2864.0,5358.0,0.03312,0.07678867,6.84,5.200012,0.236,2.093041,22.35481,255.06857,25.323128,255.17352,25.56,35.64,270.0,34.04808,250.22392,43.6551,220.65254,32.28981,247.7241,1,10,32.0
2021-01-01 11:00:00,3.495808,0.0,3.93,-3.71,-10.98,0.0,144.18,86.73868,57.441315,0.2,0.14,81.0,100.0,0.0,100.0,100.0,0.0,1006.4,52.0,1353.0,2865.0,5360.0,0.03168,0.057549436,4.97,5.3099976,0.238,1.4794979,23.143827,254.66672,26.717722,255.96376,28.08,41.60609,279.46234,39.771442,279.37708,39.738846,236.45389,31.910301,246.0375,1,11,128.0
2021-01-01 12:00:00,5.925808,0.0,6.35,-1.9,-11.06,0.0,159.31,142.92908,16.380922,0.0,0.0,78.0,100.0,0.0,0.0,100.0,0.0,1008.2,68.0,1377.0,2895.0,5378.0,0.0288,0.069030106,7.29,6.869995,0.234,2.0305996,17.462782,255.67728,19.64558,256.2184,20.519999,26.642431,269.22577,29.09103,257.8557,48.325893,208.4742,31.76375,215.31122,1,12,204.0
2021-01-01 13:00:00,5.825808,0.0,6.47,-3.09,-11.51,0.0,90.78,65.0148,25.765202,0.0,0.0,79.0,100.0,0.0,0.0,100.0,15.0,1008.6,71.0,1380.0,2894.0,5380.0,0.02304,0.05117986,6.54,6.75,0.234,1.924911,17.298738,257.98853,19.839235,258.48618,20.880001,28.44,270.0,30.453527,276.78897,42.3792,208.96005,32.839024,257.33493,1,13,100.0
2021-01-01 14:00:00,5.285808,0.0,6.12,-3.45,-11.9,0.0,39.16,24.392712,14.767288,0.1,0.0,78.0,100.0,0.0,33.0,100.0,0.0,1009.5,78.0,1385.0,2896.0,5384.0,0.01872,0.03824267,5.48,6.380005,0.235,1.9423108,17.935081,259.5923,21.542923,260.38028,20.519999,31.32207,270.65854,28.467329,279.46234,36.40275,225.40067,33.973778,254.63838,1,14,112.0
2021-01-01 15:00:00,5.045808,0.0,5.93,-3.66,-12.22,0.0,1.78,0.4025433,1.3774567,0.1,0.0,82.0,100.0,0.0,0.0,100.0,23.0,1010.5,86.0,1392.0,2901.0,5390.0,0.01296,0.0320552,5.01,5.8900146,0.236,1.5627928,18.228943,260.90973,23.675303,261.25385,23.039999,34.606842,272.98145,31.983318,281.68936,34.17157,258.4533,42.158443,272.44705,1,15,40.0
2021-01-01 16:00:00,4.685808,0.0,5.65,-4.06,-12.15,0.0,0.0,0.0,0.0,0.1,0.0,79.0,100.0,0.0,4.0,100.0,13.0,1011.3,92.0,1397.0,2905.0,5395.0,0.0144,0.021225162,4.58,5.450012,0.238,1.7779627,18.72,270.0,24.482647,270.84253,23.039999,37.77256,280.98865,35.105072,283.03867,37.996628,279.8193,40.091137,274.63547,1,16,24.0
2021-01-01 17:00:00,4.275808,0.0,5.1,-3.91,-11.82,0.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,0.0,16.0,100.0,0.0,1012.1,99.0,1402.0,2911.0,5400.0,0.01296,0.020525265,4.18,5.0899963,0.238,1.5630612,21.349546,275.80673,27.645092,278.23563,28.44,39.84958,292.85876,42.5044,296.131,47.45723,305.73978,38.96158,273.70844,1,17,0.0
