PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2020-12-31T02:00:00Z,2020-12-31T01:00:00Z,PT60M,4.8,-74,62.0,4.5,0,0,0,0,0,0,15.4,98.2,0.0,966.8,159,3.5,134,0.15
2020-12-31T03:00:00Z,2020-12-31T02:00:00Z,PT60M,4.6,-87,56.5,4.3,0,0,0,0,0,0,15.0,98.1,0.0,966.6,160,3.2,124,0.15
2020-12-31T04:00:00Z,2020-12-31T03:00:00Z,PT60M,4.1,-98,53.3,3.8,0,0,0,0,0,0,14.9,97.5,0.0,966.5,158,2.5,114,0.15
2020-12-31T05:00:00Z,2020-12-31T04:00:00Z,PT60M,3.5,-109,60.1,3.0,0,0,0,0,0,0,14.9,96.5,0.0,966.6,157,2.1,105,0.15
2020-12-31T06:00:00Z,2020-12-31T05:00:00Z,PT60M,3.0,-119,45.2,2.3,0,0,0,0,0,0,14.7,95.0,0.0,967.1,165,1.7,96,0.15
2020-12-31T07:00:00Z,2020-12-31T06:00:00Z,PT60M,2.9,-130,47.2,2.0,16,6,1,17,19,16,14.5,93.7,0.0,967.6,155,1.1,88,0.15
2020-12-31T08:00:00Z,2020-12-31T07:00:00Z,PT60M,3.7,-143,44.0,2.4,64,0,0,64,62,64,14.6,90.7,0.0,967.9,130,1.0,81,0.15
2020-12-31T09:00:00Z,2020-12-31T08:00:00Z,PT60M,4.9,-156,51.2,2.7,101,0,0,101,98,101,14.7,85.9,0.0,968.1,112,1.3,76,0.15
2020-12-31T10:00:00Z,2020-12-31T09:00:00Z,PT60M,5.8,-170,68.0,3.0,84,0,0,84,81,84,14.5,82.1,0.0,967.8,96,2.0,73,0.15
2020-12-31T11:00:00Z,2020-12-31T10:00:00Z,PT60M,6.5,176,74.0,3.4,72,0,0,72,69,72,14.2,80.4,0.0,967.1,95,2.9,72,0.15
2020-12-31T12:00:00Z,2020-12-31T11:00:00Z,PT60M,6.8,162,62.4,3.8,89,0,0,89,87,89,13.7,81.0,0.0,966.6,107,3.3,74,0.15
2020-12-31T13:00:00Z,2020-12-31T12:00:00Z,PT60M,6.7,148,57.2,4.1,70,0,0,70,68,70,13.5,83.4,0.0,966.1,121,3.5,78,0.15
2020-12-31T14:00:00Z,2020-12-31T13:00:00Z,PT60M,6.4,136,54.3,4.4,30,0,0,30,29,30,13.5,86.5,0.0,965.9,129,3.8,84,0.15
2020-12-31T15:00:00Z,2020-12-31T14:00:00Z,PT60M,6.3,124,65.0,4.4,1,0,0,1,1,1,13.3,87.9,0.0,965.7,137,4.2,92,0.15
2020-12-31T16:00:00Z,2020-12-31T15:00:00Z,PT60M,6.3,113,65.8,4.4,0,0,0,0,0,0,13.2,87.8,0.0,965.4,140,4.4,101,0.15
2020-12-31T17:00:00Z,2020-12-31T16:00:00Z,PT60M,6.0,103,56.0,4.4,0,0,0,0,0,0,13.5,89.6,0.0,964.9,137,4.4,110,0.15
2020-12-31T18:00:00Z,2020-12-31T17:00:00Z,PT60M,5.3,92,54.6,4.3,0,0,0,0,0,0,14.2,93.1,0.0,964.8,142,4.4,120,0.15
2020-12-31T19:00:00Z,2020-12-31T18:00:00Z,PT60M,4.9,80,73.2,4.2,0,0,0,0,0,0,14.7,95.3,0.0,964.9,148,4.3,129,0.15
2020-12-31T20:00:00Z,2020-12-31T19:00:00Z,PT60M,4.8,66,80.9,4.2,0,0,0,0,0,0,14.8,96.3,0.0,964.9,148,4.1,139,0.15
2020-12-31T21:00:00Z,2020-12-31T20:00:00Z,PT60M,4.8,47,89.9,4.4,0,0,0,0,0,0,15.0,96.9,0.0,964.8,152,3.8,147,0.15
2020-12-31T22:00:00Z,2020-12-31T21:00:00Z,PT60M,5.1,22,87.2,4.7,0,0,0,0,0,0,14.9,97.2,0.0,964.8,158,3.7,152,0.15
2020-12-31T23:00:00Z,2020-12-31T22:00:00Z,PT60M,5.1,-9,77.0,4.7,0,0,0,0,0,0,14.2,97.2,0.0,964.7,163,3.3,154,0.15
2021-01-01T00:00:00Z,2020-12-31T23:00:00Z,PT60M,5.1,-37,79.3,4.9,0,0,0,0,0,0,13.7,98.2,0.0,964.4,163,2.9,150,0.18
2021-01-01T01:00:00Z,2021-01-01T00:00:00Z,PT60M,5.3,-58,86.9,5.1,0,0,0,0,0,0,13.8,99.0,0.0,964.2,167,2.6,143,0.18
2021-01-01T02:00:00Z,2021-01-01T01:00:00Z,PT60M,5.2,-74,93.7,5.1,0,0,0,0,0,0,13.8,98.8,0.0,964.2,189,2.2,134,0.18
2021-01-01T03:00:00Z,2021-01-01T02:00:00Z,PT60M,5.1,-87,82.4,4.9,0,0,0,0,0,0,13.6,98.5,0.0,964.2,219,1.9,124,0.18
2021-01-01T04:00:00Z,2021-01-01T03:00:00Z,PT60M,4.9,-98,61.6,4.6,0,0,0,0,0,0,13.4,97.5,0.0,964.4,245,1.5,114,0.18
2021-01-01T05:00:00Z,2021-01-01T04:00:00Z,PT60M,4.8,-109,54.5,4.3,0,0,0,0,0,0,13.0,96.3,0.0,964.6,268,1.4,105,0.18
2021-01-01T06:00:00Z,2021-01-01T05:00:00Z,PT60M,4.7,-119,53.4,4.0,0,0,0,0,0,0,12.6,95.3,0.0,964.9,279,2.2,96,0.18
2021-01-01T07:00:00Z,2021-01-01T06:00:00Z,PT60M,4.6,-130,52.4,3.7,13,0,0,13,12,13,12.3,93.6,0.0,965.6,283,2.9,88,0.18
