dt,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily,dayofyear,hours,target
2018-01-01 00:00:00+00:00,6.7,-51,0.0,3.4,0,0,0,0,0,0,11.1,79.2,0.0,998.8,248,2.6,155,0.12,1,0,390.4803619384761
2018-01-01 01:00:00+00:00,6.7,-70,0.0,3.6,0,0,0,0,0,0,10.9,80.9,0.0,998.6,237,3.0,145,0.12,1,1,460.5371246337888
2018-01-01 02:00:00+00:00,6.5,-83,0.0,3.8,0,0,0,0,0,0,10.9,82.9,0.0,998.7,234,3.1,134,0.12,1,2,733.6553751627598
2018-01-01 03:00:00+00:00,6.1,-93,0.0,3.8,0,0,0,0,0,0,11.3,85.2,0.0,998.5,225,3.1,123,0.12,1,3,909.3620808919264
2018-01-01 04:00:00+00:00,5.8,-102,0.0,3.8,0,0,0,0,0,0,11.8,87.6,0.0,998.1,212,3.4,112,0.12,1,4,1393.5181884765582
2018-01-01 05:00:00+00:00,5.7,-111,0.0,4.0,0,0,0,0,0,0,12.3,89.1,0.0,998.0,204,3.6,101,0.12,1,5,1149.5991617838483
2018-01-01 06:00:00+00:00,5.6,-121,0.0,4.2,5,47,4,10,27,5,12.9,90.7,0.0,997.9,197,3.6,91,0.12,1,6,1100.0743916829408
2018-01-01 07:00:00+00:00,5.6,-131,6.9,4.4,45,397,67,112,276,59,13.4,91.7,0.0,998.1,195,3.4,81,0.12,1,7,928.242818196613
2018-01-01 08:00:00+00:00,6.4,-143,0.0,4.6,52,725,207,259,575,359,13.8,88.6,0.0,998.4,197,3.3,74,0.12,1,8,614.6530914306637
2018-01-01 09:00:00+00:00,7.3,-156,0.0,4.7,58,821,312,370,747,515,14.1,83.6,0.0,998.3,199,3.3,68,0.12,1,9,671.5084075927731
