PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2018-01-01T00:00:00Z,2017-12-31T23:00:00Z,6.7,-51,0.0,3.4,0,0,0,0,0,0,11.1,79.2,0.0,998.8,248,2.6,155,0.12
2018-01-01T01:00:00Z,2018-01-01T00:00:00Z,6.7,-70,0.0,3.6,0,0,0,0,0,0,10.9,80.9,0.0,998.6,237,3.0,145,0.12
2018-01-01T02:00:00Z,2018-01-01T01:00:00Z,6.5,-83,0.0,3.8,0,0,0,0,0,0,10.9,82.9,0.0,998.7,234,3.1,134,0.12
2018-01-01T03:00:00Z,2018-01-01T02:00:00Z,6.1,-93,0.0,3.8,0,0,0,0,0,0,11.3,85.2,0.0,998.5,225,3.1,123,0.12
2018-01-01T04:00:00Z,2018-01-01T03:00:00Z,5.8,-102,0.0,3.8,0,0,0,0,0,0,11.8,87.6,0.0,998.1,212,3.4,112,0.12
2018-01-01T05:00:00Z,2018-01-01T04:00:00Z,5.7,-111,0.0,4.0,0,0,0,0,0,0,12.3,89.1,0.0,998.0,204,3.6,101,0.12
2018-01-01T06:00:00Z,2018-01-01T05:00:00Z,5.6,-121,0.0,4.2,5,47,4,10,27,5,12.9,90.7,0.0,997.9,197,3.6,91,0.12
2018-01-01T07:00:00Z,2018-01-01T06:00:00Z,5.6,-131,6.9,4.4,45,397,67,112,276,59,13.4,91.7,0.0,998.1,195,3.4,81,0.12
2018-01-01T08:00:00Z,2018-01-01T07:00:00Z,6.4,-143,0.0,4.6,52,725,207,259,575,359,13.8,88.6,0.0,998.4,197,3.3,74,0.12
2018-01-01T09:00:00Z,2018-01-01T08:00:00Z,7.3,-156,0.0,4.7,58,821,312,370,747,515,14.1,83.6,0.0,998.3,199,3.3,68,0.12
2018-01-01T10:00:00Z,2018-01-01T09:00:00Z,8.3,-170,0.0,4.6,60,860,372,433,841,461,14.1,77.8,0.0,997.6,203,3.4,64,0.12
2018-01-01T11:00:00Z,2018-01-01T10:00:00Z,9.3,174,0.0,4.4,58,873,383,441,855,455,13.9,71.7,0.0,996.9,210,3.4,64,0.12
2018-01-01T12:00:00Z,2018-01-01T11:00:00Z,10.0,159,0.0,4.2,56,845,336,392,783,502,13.9,67.2,0.0,996.4,215,3.2,67,0.12
2018-01-01T13:00:00Z,2018-01-01T12:00:00Z,10.5,146,0.0,4.2,55,756,237,292,626,441,13.8,65.0,0.0,996.2,216,3.0,72,0.12
2018-01-01T14:00:00Z,2018-01-01T13:00:00Z,10.6,134,5.6,5.0,50,493,100,150,357,110,13.5,68.1,0.0,996.0,213,2.6,79,0.12
2018-01-01T15:00:00Z,2018-01-01T14:00:00Z,10.4,123,3.1,5.4,15,104,10,24,65,13,12.9,70.7,0.0,995.6,200,2.3,88,0.12
2018-01-01T16:00:00Z,2018-01-01T15:00:00Z,10.0,114,0.0,5.2,0,0,0,0,0,0,12.1,72.1,0.0,995.4,183,2.2,98,0.12
2018-01-01T17:00:00Z,2018-01-01T16:00:00Z,9.2,105,0.0,5.4,0,0,0,0,0,0,11.4,77.1,0.0,995.1,176,2.1,109,0.12
2018-01-01T18:00:00Z,2018-01-01T17:00:00Z,8.7,96,0.0,5.6,0,0,0,0,0,0,11.0,80.6,0.0,994.9,177,2.0,120,0.12
2018-01-01T19:00:00Z,2018-01-01T18:00:00Z,8.5,86,0.0,5.7,0,0,0,0,0,0,10.6,82.3,0.0,994.7,171,2.0,131,0.12
